序号,画面标识,结果,位置,置信度
0,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"434,304,586,622",0.87
1,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"317,315,476,637",0.84
2,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"461,229,565,369",0.80
3,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"100,40,189,377",0.78
4,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"14,330,168,639",0.77
5,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"124,29,300,434",0.76
6,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"317,317,479,636",0.57
7,C:/Users/hui/Desktop/123/thumb1491.jpeg,低头看书,"381,227,468,366",0.45
8,C:/Users/hui/Desktop/123/thumb1491.jpeg,站立,"155,145,301,584",0.36
9,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.78
10,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,531",0.38
11,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.77
12,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,531",0.41
13,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.79
14,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,530",0.45
15,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,395,48,526",0.79
16,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,530",0.46
17,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,394,48,526",0.78
18,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,531",0.43
19,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,394,48,526",0.78
20,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,531",0.43
21,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,526",0.78
22,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,530",0.43
23,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"0,393,47,526",0.78
24,C:/Users/hui/Desktop/123/HDTestVideo2-30seconds.mp4,站立,"136,382,223,530",0.43
